CoC_id,CoC_number,CoC_name,county_name(s),FIPS_state_county_codes,state,region_name,division_name,region_id,division_id,year,cannabis_legal_med,cannabis_legal_rec,first_treated,overall_homeless_per10k,sheltered_total_homeless_per10k,unsheltered_homeless_per10k,pop_dens,shelter_beds_per10k,all_ages_in_poverty_percent_cnty_avg,total_jail_dis_per10k,total_jail_pop_per10k,total_jail_adm_per10k,total_prison_pop_per10k,total_prison_adm_per10k,avg_low_temp_cnty_avg,median_household_income,med_rent
AK-500,2500,Anchorage CoC,Anchorage Municipality,2020,AK,West,Pacific,4,9,2007,1,0,2014,34.93644007,30.20172745,4.734712617,171.7161199,33.49074842,8.74,,,,,166.527739,13.09166667,75781,1381.25
AK-500,2500,Anchorage CoC,Anchorage Municipality,2020,AK,West,Pacific,4,9,2008,1,0,2014,36.33406025,32.71130938,3.622750875,171.7161199,33.49074842,8.74,,,,,166.527739,13.09166667,75781,1381.25
AK-500,2500,Anchorage CoC,Anchorage Municipality,2020,AK,West,Pacific,4,9,2009,1,0,2014,44.04245039,38.58494075,5.457509638,171.7161199,33.49074842,8.74,,,,,166.527739,13.09166667,75781,1381.25
AK-500,2500,Anchorage CoC,Anchorage Municipality,2020,AK,West,Pacific,4,9,2010,1,0,2014,41.96924755,37.94620027,4.023047288,171.7161199,33.49074842,8.74,,,,,166.527739,13.09166667,75781,1381.25
AK-500,2500,Anchorage CoC,Anchorage Municipality,2020,AK,West,Pacific,4,9,2011,1,0,2014,41.29608244,36.53504596,4.761036488,171.7161199,33.49074842,8.74,,,,,166.527739,13.09166667,75781,1381.25
AK-500,2500,Anchorage CoC,Anchorage Municipality,2020,AK,West,Pacific,4,9,2012,1,0,2014,38.45986192,36.78332042,1.676541496,171.7161199,33.49074842,8.74,,,,,166.527739,13.09166667,75781,1381.25
AK-500,2500,Anchorage CoC,Anchorage Municipality,2020,AK,West,Pacific,4,9,2013,1,0,2014,37.25656224,35.52987664,1.726685594,171.7161199,33.49074842,8.74,,,,,166.527739,13.09166667,75781,1381.25
AK-500,2500,Anchorage CoC,Anchorage Municipality,2020,AK,West,Pacific,4,9,2014,1,1,2014,34.10829969,32.34120303,1.76709666,171.7161199,33.49074842,8.74,,,,,166.527739,13.09166667,75781,1381.25
AK-500,2500,Anchorage CoC,Anchorage Municipality,2020,AK,West,Pacific,4,9,2015,1,1,2014,40.58962478,34.57510257,6.014522215,171.7161199,33.49074842,8.74,,,,,166.527739,13.09166667,75781,1381.25
AK-500,2500,Anchorage CoC,Anchorage Municipality,2020,AK,West,Pacific,4,9,2016,1,1,2014,37.17834841,29.10341301,8.074935401,171.7161199,33.49074842,8.74,,,,,166.527739,13.09166667,75781,1381.25
AK-500,2500,Anchorage CoC,Anchorage Municipality,2020,AK,West,Pacific,4,9,2017,1,1,2014,38.33292554,33.06554658,5.267378952,171.7161199,33.49074842,8.74,,,,,166.527739,13.09166667,75781,1381.25
AK-500,2500,Anchorage CoC,Anchorage Municipality,2020,AK,West,Pacific,4,9,2018,1,1,2014,37.52512537,34.30084586,3.224279511,171.7161199,33.49074842,8.74,,,,,166.527739,13.09166667,75781,1381.25
AL-500,1500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Bibb County, Blount County, Jefferson County, St. Clair County, Shelby County","1007, 1009, 1073, 1115, 1117",AL,South,East South Central,3,6,2007,0,0,0,21.11008548,12.44130513,8.668780351,270.3442774,11.04285569,15.06,,23.53121048,,55.30695804,24.34998888,32.28714286,45567,961.25
AL-500,1500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Bibb County, Blount County, Jefferson County, St. Clair County, Shelby County","1007, 1009, 1073, 1115, 1117",AL,South,East South Central,3,6,2008,0,0,0,20.91395161,12.32571293,8.588238685,270.3442774,11.04285569,15.06,,23.53121048,,55.30695804,24.34998888,32.28714286,45567,961.25
AL-500,1500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Bibb County, Blount County, Jefferson County, St. Clair County, Shelby County","1007, 1009, 1073, 1115, 1117",AL,South,East South Central,3,6,2009,0,0,0,22.40645085,10.53783368,11.86861717,270.3442774,11.04285569,15.06,,23.53121048,,55.30695804,24.34998888,32.28714286,45567,961.25
AL-500,1500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Bibb County, Blount County, Jefferson County, St. Clair County, Shelby County","1007, 1009, 1073, 1115, 1117",AL,South,East South Central,3,6,2010,0,0,0,22.32669066,10.50032218,11.82636848,270.3442774,11.04285569,15.06,,23.53121048,,55.30695804,24.34998888,32.28714286,45567,961.25
AL-500,1500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Bibb County, Blount County, Jefferson County, St. Clair County, Shelby County","1007, 1009, 1073, 1115, 1117",AL,South,East South Central,3,6,2011,0,0,0,19.11335592,10.03696229,9.076393633,270.3442774,11.04285569,15.06,,23.53121048,,55.30695804,24.34998888,32.28714286,45567,961.25
AL-500,1500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Bibb County, Blount County, Jefferson County, St. Clair County, Shelby County","1007, 1009, 1073, 1115, 1117",AL,South,East South Central,3,6,2012,0,0,0,16.67133829,9.85435286,6.816985427,270.3442774,11.04285569,15.06,,23.53121048,,55.30695804,24.34998888,32.28714286,45567,961.25
AL-500,1500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Bibb County, Blount County, Jefferson County, St. Clair County, Shelby County","1007, 1009, 1073, 1115, 1117",AL,South,East South Central,3,6,2013,0,0,0,14.27272268,9.327306857,4.945415823,270.3442774,11.04285569,15.06,,23.53121048,,55.30695804,24.34998888,32.28714286,45567,961.25
AL-500,1500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Bibb County, Blount County, Jefferson County, St. Clair County, Shelby County","1007, 1009, 1073, 1115, 1117",AL,South,East South Central,3,6,2014,0,0,0,12.87377789,8.863436243,4.010341644,270.3442774,11.04285569,15.06,,23.53121048,,55.30695804,24.34998888,32.28714286,45567,961.25
AL-500,1500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Bibb County, Blount County, Jefferson County, St. Clair County, Shelby County","1007, 1009, 1073, 1115, 1117",AL,South,East South Central,3,6,2015,0,0,0,11.12844132,8.840982005,2.287459318,270.3442774,11.04285569,15.06,,23.53121048,,55.30695804,24.34998888,32.28714286,45567,961.25
AL-500,1500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Bibb County, Blount County, Jefferson County, St. Clair County, Shelby County","1007, 1009, 1073, 1115, 1117",AL,South,East South Central,3,6,2016,0,0,0,11.81710054,9.930983514,1.886117024,270.3442774,11.04285569,15.06,,23.53121048,,55.30695804,24.34998888,32.28714286,45567,961.25
AL-500,1500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Bibb County, Blount County, Jefferson County, St. Clair County, Shelby County","1007, 1009, 1073, 1115, 1117",AL,South,East South Central,3,6,2017,0,0,0,10.48353883,8.400271497,2.083267331,270.3442774,11.04285569,15.06,,23.53121048,,55.30695804,24.34998888,32.28714286,45567,961.25
AL-500,1500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Bibb County, Blount County, Jefferson County, St. Clair County, Shelby County","1007, 1009, 1073, 1115, 1117",AL,South,East South Central,3,6,2018,0,0,0,8.630789023,6.53296128,2.097827742,270.3442774,11.04285569,15.06,,23.53121048,,55.30695804,24.34998888,32.28714286,45567,961.25
AL-500,1500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Bibb County, Blount County, Jefferson County, St. Clair County, Shelby County","1007, 1009, 1073, 1115, 1117",AL,South,East South Central,3,6,2019,0,0,0,9.569373323,6.389336928,3.180036395,270.3442774,11.04285569,15.06,,23.53121048,,55.30695804,24.34998888,32.28714286,45567,961.25
